44466,1,39,4,78091,78091,1405599,-2623436,1389039,-2605006,1422159,-2641865,NULL,10:南部導管,NULL,NULL,NULL,NULL,NULL
44467,1,40,116,79903,79903,1345867,-2525179,1325476,-2513941,1366259,-2536416,NULL,30:西部導管_10:南部導管,NULL,NULL,NULL,NULL,NULL
44468,1,41,120,60737,60737,1384351,-2525101,1365359,-2514778,1403343,-2535423,NULL,10:南部導管_30:西部導管,NULL,NULL,NULL,1,NULL
44469,1,42,101,91569,91569,1350074,-2607255,1325345,-2585886,1374803,-2628623,NULL,30:西部導管,NULL,NULL,NULL,NULL,NULL
44470,1,43,143,32967,32967,1392355,-2501429,1377361,-2490629,1407349,-2512229,NULL,40:北部導管,1,,NULL,NULL,NULL
44471,1,45,114,39331,39331,1427076,-2709026,1410873,-2695327,1443279,-2722725,NULL,10:南部導管,NULL,NULL,NULL,NULL,NULL
44472,1,46,140,78436,78436,1384942,-2591139,1370836,-2569236,1399048,-2613042,NULL,30:西部導管_10:南部導管,NULL,NULL,NULL,NULL,NULL
44473,1,47,57,53664,53664,1414527,-2598111,1400199,-2585921,1428856,-2610301,NULL,10:南部導管,NULL,NULL,NULL,NULL,NULL
44474,1,48,13,35661,35661,1404350,-2704587,1387500,-2686652,1421201,-2722521,NULL,10:南部導管,NULL,NULL,NULL,NULL,NULL
44475,2,1,44,168562,168562,1487384,-2518035,1465004,-2492632,1508251,-2547146,NULL,20:東部導管_10:南部導管,NULL,NULL,NULL,NULL,NULL
44476,2,2,33,29458,29458,1474241,-2587261,1466995,-2571905,1488631,-2603856,NULL,10:南部導管,NULL,NULL,NULL,NULL,NULL
44477,2,3,29,102293,102293,1502327,-2547071,1487583,-2527207,1516455,-2559844,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44478,2,4,49,34976,34976,1431006,-2450397,1422512,-2438801,1442189,-2468185,NULL,40:北部導管,NULL,NULL,NULL,1,NULL
44479,2,5,6,135942,135942,1486192,-2454454,1447934,-2419175,1523107,-2488561,NULL,20:東部導管,NULL,NULL,NULL,1,NULL
44480,2,6,32,146888,146888,1533318,-2475779,1514246,-2429509,1554188,-2518153,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44481,2,7,144,32350,32350,1557147,-2524432,1542942,-2509596,1574550,-2540388,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
44482,2,8,21,62035,62035,1568096,-2486732,1547032,-2463868,1589160,-2509596,NULL,20:東部導管,NULL,NULL,NULL,NULL,NULL
