1,1,11,1
1,1,12,1
1,2,11,1
1,2,12,1
1,3,11,1
1,4,11,1
1,5,12,1
1,6,12,1
1,7,12,1
1,7,60,1
1,7,31,1
1,8,12,1
1,9,12,1
1,9,31,1
1,9,60,1
1,10,41,1
1,10,12,1
1,10,31,1
1,11,31,1
1,12,31,1
1,13,31,1
1,13,12,1
1,13,11,1
1,14,41,1
1,15,41,1
1,16,41,1
1,17,41,1
1,18,21,1
1,18,41,1
1,19,11,1
1,19,60,1
1,20,11,1
1,20,60,1
1,21,11,1
1,22,11,1
1,23,11,1
1,24,11,1
1,25,11,1
1,26,12,1
1,27,11,1
1,28,31,1
1,29,11,1
1,30,12,1
1,30,11,1
1,31,12,1
1,31,41,1
1,32,12,1
1,33,12,1
1,33,31,1
1,34,11,1
1,35,11,1
1,36,41,1
1,37,41,1
1,38,11,1
1,39,12,1
1,39,11,1
1,40,31,1
1,40,12,1
1,41,12,1
1,41,31,1
1,42,31,1
1,43,41,1
1,45,11,1
1,46,31,1
1,46,12,1
1,47,12,1
1,48,11,1
2,1,21,1
2,1,11,1
2,1,60,1
2,2,11,1
2,3,21,1
2,4,41,1
2,5,21,1
2,6,21,1
2,7,21,1
2,8,21,1
2,9,21,1
2,9,42,1
2,9,60,1
2,10,21,1
2,11,41,1
2,11,60,1
2,12,41,1
2,13,41,1
2,14,41,1
2,15,41,1
2,16,21,1
2,17,21,1
2,18,21,1
2,19,21,1
2,20,21,1
2,21,21,1
2,22,21,1
2,23,21,1
2,24,21,1
2,25,21,1
2,26,21,1
2,27,21,1
2,28,21,1
2,29,21,1
2,30,11,1
2,31,21,1
2,32,21,1
2,32,11,1
2,33,21,1
2,34,21,1
2,35,21,1
2,36,21,1
2,37,21,1
2,38,21,1
2,39,21,1
2,40,21,1
2,41,21,1
2,42,41,1
2,43,41,1
2,44,21,1
2,45,41,1
2,46,21,1
2,46,41,1
2,47,21,1
3,1,31,1
3,2,31,1
3,2,32,1
3,2,33,1
3,2,60,1
3,3,31,1
3,4,31,1
3,5,31,1
3,5,32,1
3,5,41,1
3,6,32,1
3,6,60,1
3,7,32,1
3,8,41,1
3,9,41,1
3,10,41,1
3,11,32,1
3,12,31,1
3,12,60,1
3,13,32,1
3,14,32,1
3,15,31,1
3,15,41,1
3,16,32,1
3,17,32,1
3,18,32,1
3,19,32,1
3,20,32,1
3,21,31,1
3,21,32,1
3,21,41,1
3,22,41,1
3,23,31,1
3,24,31,1
3,25,31,1
3,25,41,1
3,28,31,1
3,29,32,1
4,1,51,1
4,2,51,1
4,3,51,1
4,4,51,1
4,5,51,1
4,6,51,1
4,7,51,1
4,8,51,1
4,9,51,1
4,10,51,1
4,11,51,1
4,12,51,1
4,13,51,1
4,14,51,1
4,15,51,1
4,16,51,1
4,17,51,1
4,18,51,1
4,19,51,1
4,20,51,1
4,21,51,1
4,22,51,1
4,23,51,1
4,24,51,1
4,25,51,1
4,26,51,1
4,27,51,1
4,28,51,1
4,29,51,1
4,29,60,1
4,30,51,1
4,31,51,1
4,32,51,1
4,33,51,1
4,34,51,1
4,36,51,1
4,37,51,1
4,38,51,1
4,39,51,1
4,40,51,1
5,1,53,1
5,2,53,1
5,3,53,1
5,3,51,1
5,4,53,1
5,5,51,1
5,6,32,1
5,6,60,1
5,7,32,1
5,8,32,1
5,9,32,1
5,10,32,1
5,11,53,1
5,12,53,1
5,13,53,1
5,14,32,1
5,14,33,1
5,15,51,1
5,15,53,1
5,16,53,1
5,17,51,1
5,17,53,1
5,18,32,1
5,19,51,1
