1188,1,44501,NULL,ガバナ名称:1188,1557295,-2599915,NULL,NULL,0,0,24,NULL,NULL,1,0,住所:1188,NULL,NULL,0,2,2,27,21,東部NC,13123,江戸川区,NULL,0
1189,1,44569,NULL,ガバナ名称:1189,1404952,-2766232,NULL,NULL,0,3,27,NULL,NULL,1,0,住所:1189,NULL,NULL,0,4,2,21,51,神奈川NC,14101,横浜市鶴見区,NULL,0
1192,4,44743,NULL,ガバナ名称:1192,1486608,-2738573,NULL,NULL,0,0,24,NULL,NULL,1,0,住所:1192,NULL,NULL,0,99,0,0,51,神奈川NC,14131,川崎市川崎区,NULL,0
1194,1,44572,NULL,ガバナ名称:1194,1271793,-2697179,NULL,NULL,0,0,24,NULL,NULL,1,0,住所:1194,NULL,NULL,0,4,1,24,51,神奈川NC,14117,横浜市青葉区,NULL,0
1200,1,44631,NULL,ガバナ名称:1200,1171430,-2862122,NULL,NULL,0,0,24,NULL,NULL,1,0,住所:1200,NULL,NULL,0,6,1,18,51,神奈川NC,14101,横浜市鶴見区,NULL,0
1221,1,44673,NULL,ガバナ名称:1221,1804385,-2566203,NULL,NULL,0,0,24,NULL,NULL,1,0,住所:1221,NULL,NULL,0,8,2,4,22,千葉NC,12101,千葉市中央区,NULL,0
1223,1,44523,NULL,ガバナ名称:1223,1225326,-2498468,NULL,NULL,0,1,25,NULL,NULL,1,0,住所:1223,NULL,NULL,0,3,0,2,33,保谷基地,13211,小平市,NULL,0
1224,1,44601,NULL,ガバナ名称:1224,1193207,-2622598,NULL,NULL,0,1,25,NULL,NULL,1,0,住所:1224,NULL,NULL,0,5,0,14,33,保谷基地,13224,多摩市,NULL,0
1232,1,44436,NULL,ガバナ名称:1232,1408781,-2612047,NULL,NULL,0,0,24,NULL,NULL,1,0,住所:1232,NULL,NULL,0,1,3,9,60,本社,13110,目黒区,NULL,0
1242,1,44434,NULL,ガバナ名称:1242,1397990,-2558786,NULL,NULL,0,3,27,NULL,NULL,1,0,住所:1242,NULL,NULL,0,1,1,7,60,本社,13104,新宿区,NULL,0
1262,1,44692,NULL,ガバナ名称:1262,1836037,-2300964,NULL,NULL,0,1,25,NULL,NULL,1,0,住所:1262,NULL,NULL,0,9,0,1,21,東部NC,8208,龍ケ崎市,NULL,0
1265,4,44746,NULL,ガバナ名称:1265,2046905,-2555126,NULL,NULL,0,0,24,NULL,NULL,1,0,住所:1265,NULL,NULL,0,99,0,3,24,鹿島支所,12409,山武郡芝山町,NULL,0
