814642,2,4,2022-02-03 19:19:29,Sblock Lp Restore: K1L22S6 : D : CSA(20117)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814643,2,4,2022-02-03 19:19:29,Sblock Lp Restore: K1L22S7 : D : CSA(21139)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814644,2,4,2022-02-03 19:19:29,Sblock Lp Restore: K1L22S8 : D : CSA(21143)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814645,2,0,2022-02-03 19:19:29,Sblock Lp Restore: K1L23S1 : UNCERTAIN : CSA(20024) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814646,2,2,2022-02-03 19:19:29,Sblock Lp Restore: K1L24S1 : B : CSA(20011)$#COMMA# A(lp=2.27$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=1.97$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=-0.001$#COMMA# b=2.57 ,1,1
814647,2,2,2022-02-03 19:19:29,Sblock Lp Restore: K1L25S1 : B : CSA(20160)$#COMMA# A(lp=2.27$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=1.97$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=-0.001$#COMMA# b=2.57 ,1,1
814653,2,0,2022-02-03 19:19:29,Sblock Lp Restore: K1L30S1 : UNCERTAIN : CSA(20246) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814660,2,0,2022-02-03 19:19:29,Sblock Lp Restore: K1L37S1 : UNCERTAIN : CSA(20888) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814669,2,0,2022-02-03 19:19:29,Sblock Lp Restore: K1L47S1 : UNCERTAIN : CSA(20484) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814670,2,0,2022-02-03 19:19:29,Sblock Lp Restore: K1L48S1 : UNCERTAIN : CSA(20174) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814671,2,0,2022-02-03 19:19:30,Sblock Lp Restore: K2L1S1 : UNCERTAIN : CSA(21182) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814672,2,4,2022-02-03 19:19:30,Sblock Lp Restore: K2L1S2 : D : CSA(21214)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814674,2,4,2022-02-03 19:19:30,Sblock Lp Restore: K2L2S2 : D : CSA(21267)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814675,2,0,2022-02-03 19:19:30,Sblock Lp Restore: K2L3S1 : UNCERTAIN : CSA(21338) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814677,2,0,2022-02-03 19:19:30,Sblock Lp Restore: K2L5S1 : UNCERTAIN : CSA(21443) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814678,2,0,2022-02-03 19:19:30,Sblock Lp Restore: K2L6S1 : UNCERTAIN : CSA(21563) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814680,2,0,2022-02-03 19:19:30,Sblock Lp Restore: K2L8S1 : UNCERTAIN : CSA(21721) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814681,2,0,2022-02-03 19:19:30,Sblock Lp Restore: K2L8S2 : UNCERTAIN : CSA(21725) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814696,2,0,2022-02-03 19:19:30,Sblock Lp Restore: K2L11S1 : UNCERTAIN : CSA(21927) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814697,2,0,2022-02-03 19:19:31,Sblock Lp Restore: K2L11S2 : UNCERTAIN : CSA(21922) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814698,2,4,2022-02-03 19:19:31,Sblock Lp Restore: K2L11S3 : D : CSA(21925)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814699,2,1,2022-02-03 19:19:31,Sblock Lp Restore: K2L11S5 : A : CSA(20636)$#COMMA# A(lp=2.3170000000000001$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=1.517$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=-0.0026666666666666666$#COMMA# b=3.117 ,1,1
814700,2,0,2022-02-03 19:19:31,Sblock Lp Restore: K2L12S1 : UNCERTAIN : CSA(21965) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814701,2,0,2022-02-03 19:19:31,Sblock Lp Restore: K2L13S1 : UNCERTAIN : CSA(22003) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814702,2,0,2022-02-03 19:19:31,Sblock Lp Restore: K2L14S1 : UNCERTAIN : CSA(22082) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814709,2,4,2022-02-03 19:19:31,Sblock Lp Restore: K2L17S7 : D : CSA(21848)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814715,2,0,2022-02-03 19:19:31,Sblock Lp Restore: K2L19S1 : UNCERTAIN : CSA(21890) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814716,2,0,2022-02-03 19:19:31,Sblock Lp Restore: K2L19S2 : UNCERTAIN : CSA(21888) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814717,2,4,2022-02-03 19:19:31,Sblock Lp Restore: K2L19S4 : D : CSA(21898)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814718,2,4,2022-02-03 19:19:32,Sblock Lp Restore: K2L19S5 : D : CSA(21899)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814719,2,4,2022-02-03 19:19:32,Sblock Lp Restore: K2L19S6 : D : CSA(20529)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814724,2,4,2022-02-03 19:19:32,Sblock Lp Restore: K2L23S1 : D : CSA(21678)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814732,2,0,2022-02-03 19:19:32,Sblock Lp Restore: K2L29S1 : UNCERTAIN : CSA(21622) has unusual jgt_pilot_shutoffs.judge_result(5) ,1,1
814734,2,2,2022-02-03 19:19:32,Sblock Lp Restore: K2L31S1 : B : CSA(22224)$#COMMA# A(lp=2.27$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=1.97$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=-0.001$#COMMA# b=2.57 ,1,1
814735,2,4,2022-02-03 19:19:32,Sblock Lp Restore: K2L31S3 : D : CSA(20155)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
814736,2,2,2022-02-03 19:19:32,Sblock Lp Restore: K2L31S6 : B : CSA(22187)$#COMMA# A(lp=2.27$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=1.97$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=-0.001$#COMMA# b=2.57 ,1,1
814737,2,3,2022-02-03 19:19:33,Sblock Lp Restore: K2L31S7 : C : CSA(22210)$#COMMA# A(lp=2.26500000000000001$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.165$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=-0.0003333333333333333$#COMMA# b=2.365 ,1,1
814738,2,4,2022-02-03 19:19:33,Sblock Lp Restore: K2L31S11 : D : CSA(22217)$#COMMA# A(lp=2.325$#COMMA# time=2022/02/03 19:11:16$#COMMA# data_type=0)$#COMMA# B(lp=2.325$#COMMA# time=2022/02/03 19:16:16$#COMMA# data_type=0)$#COMMA# a=0.0$#COMMA# b=2.325 ,1,1
